track,cluster_l1,cluster_l2
&ME - Garden.mp3,Noise,Noise
0010X0010 - Escape From Rodeo Drive.mp3,H,H1
AKA AKA - Panaji.mp3,N,N1
ALMA (GER) - Old Dog New Tricks.mp3,G,G1
ARTBAT - Aquarius.mp3,M,M3
Acid Pauli - Dancing in the Trunk.mp3,E,E1
Adana Twins - Origo.mp3,D,D1
"AfterU, Miss Monique - Sahara (Miss Monique Remix).mp3",M,M3
Agoria feat. STS - Call Of The Wild (Glowal Wild Remix).mp3,P,P1
Akio Nagase - Sunday Park Jazz.mp3,F,F1
Alex Breitling - Bring It Back.mp3,Noise,Noise
Alex Dimou - Creep Inside.mp3,E,E1
Alex Dimou - What Keeps You There (Cevin Fisher Remix).mp3,L,L1
Alex Dimou - What Keeps You There.mp3,L,L1
Alex Dimou feat. Black Soda - This Time.mp3,E,E1
Alex Niggemann - Serenity.mp3,N,N3
"Alexander Alar, Sonita - Tokyo.mp3",G,G1
Amy Root - June (Mees Salomé Remix).mp3,P,P1
Andhim - Taxi.mp3,I,I2
Andreas Henneberg - Rubbed Down.mp3,C,C1
Anton Dhouran - Osmekha (Ruede Hagelstein Remix).mp3,N,N2
BOg - Corso.mp3,J,J1
BOg - Drawing Board.mp3,N,N5
"BOg, GHEIST, Fideles - Venere (Fideles Remix).mp3",G,G1
Bait & Switch - You Are In Trouble.mp3,N,N6
Belocca - Mother Earth.mp3,H,H1
Benno Blome - Abotha (Mihai Popoviciu Remix).mp3,L,L1
"Betoko, Kastis Torrau - Dosya.mp3",Noise,Noise
Black Girl _ White Girl - Green Crack.mp3,H,H2
"Bora Uzer, VANDER (DR), Mynox, Pandhora - Let It Breathe (Pandhora Remix).mp3",M,M3
Brendon Moeller - Linear Daybreak.mp3,Noise,Noise
"Burger, Voigt - Wandaus Klang.mp3",N,N4
Butane feat. Worldline - Rave Etiquette.mp3,A,A1
Butch - Lale.mp3,A,A1
"C-Jay - BackSlider, Pt. 3.mp3",N,N4
Carbon - Go Through That.mp3,B,B1
"Carlo Lio, Harvey McKay - Droid Decay.mp3",C,C1
Carlo Ruetz - Outlaws.mp3,Noise,Noise
"Cee ElAssaad, Mario Bianco - El Cant Dels Ocells.mp3",Noise,Noise
Christopher Kah - Thrust.mp3,H,H1
Christos Fourkis - Black Rat.mp3,K,K1
Chus & Ceballos feat. Astrid Suryanto - All I Want (Oscar L Remix).mp3,D,D1
Cid Inc. - Via Karelia.mp3,M,M1
Cirez D - The Raid.mp3,G,G2
Club Tularosa - Kenji.mp3,F,F1
Coeus - Horizon.mp3,G,G1
Coeus - Momentum.mp3,M,M2
Collective States - Lonesome Ghosts.mp3,M,M1
"D-Nox, Gai Barone - To The Disco.mp3",J,J1
DJ Angelo - Babel.mp3,Noise,Noise
Damon Jee - Ride Alone.mp3,F,F1
Dance Spirit - Rare Form.mp3,E,E1
Dance Spirit - Raver Etiquette.mp3,E,E1
Dance Spirit - Speaker Freaker.mp3,E,E1
"Dandara, Klik & Frik - Caracal (Klik & Frik Remix).mp3",I,I2
Daniel Rateuke - Flares.mp3,M,M2
Darren Emerson - Hot dog (Florian Meindl Remix).mp3,B,B1
"Dave Pad, Spieltape - Space Chants.mp3",Noise,Noise
"Davide Squillace, Basti Grub, Julian Smith - Let's Go Deep.mp3",N,N5
Denis A - Space Truck.mp3,G,G1
Dennis Cruz - Rock & Roll.mp3,D,D1
Dense & Pika - Apache.mp3,Noise,Noise
