question_id,anchor,candidate_b,candidate_c,answer,answered_at,selection_source
DJB-Q001,BOg - Corso.mp3,James Orvis - Acid.mp3,Adana Twins - Origo.mp3,C,2026-05-28T00:00:00Z,mert_full_knn
DJB-Q002,Indid - See You.mp3,John Digweed & Nick Muir vs. Marco Bailey - Red Tape.mp3,"Sebjak, Fahlberg - Chaka.mp3",B,2026-05-28T00:00:00Z,mert_full_knn
DJB-Q003,DJ Angelo - Babel.mp3,"Housekeeping, Andfolk feat. Deanna Leigh - Faces (Extended Mix).mp3","Mathias Schober, Atelier. - The Fall Feat. Atelier.mp3",B,2026-05-28T00:00:00Z,mert_full_knn
DJB-Q004,Pig & Dan - Return To Mono.MP3,Belocca - Mother Earth.mp3,Tapan feat. Radwan Ghazi Moumneh - In My Heart feat. Radwan Ghazi Moumneh (Khidja Remix).mp3,C,2026-05-28T00:00:00Z,mert_full_knn
DJB-Q005,Joseph Ashworth - Dominika.mp3,Timo Maas - Brummer.mp3,VSY - Turtles.mp3,C,2026-05-28T00:00:00Z,mert_full_knn
DJB-Q006,John Dimas - Impress Me (Anonym Show Me What'cha Got Remix).mp3,"Mathias Rehfeldt, Dark Matter Projekt - Zeit (Niconé & Dirty Doering Remix).mp3",Dance Spirit - Rare Form.mp3,C,2026-05-28T00:00:00Z,mert_full_knn
DJB-Q007,Rob Hes - Army Of One.mp3,Lopezhouse - Something Is Happening.mp3,Redsea (IT) - Around My Head (The Drifter Remix).mp3,C,2026-05-28T00:00:00Z,mert_full_knn
DJB-Q008,La Fleur - Aphelion.mp3,Tosca - Pyjama Stereotype Mix #1.mp3,Dance Spirit - Rare Form.mp3,C,2026-05-28T00:00:00Z,mert_full_knn
DJB-Q009,BOg - Drawing Board.mp3,Electric Rescue -  Dope.mp3,Dj Pressing - Altiplano.mp3,B,2026-05-28T00:00:00Z,mert_full_knn
DJB-Q010,Sunscreem - Perfect Motion (Patrice Bäumel Renaissance Remix).mp3,Fulltone - C'est Bon.mp3,"Oliver Koletzki, Monolink ‒ We are all lost (Nico Stojan Remix).mp3",C,2026-05-28T00:00:00Z,mert_full_knn
DJB-Q011,Christos Fourkis - Black Rat.mp3,John Digweed - Warung Beach (Luetzenkirchen Remix).mp3,Carbon - Go Through That.mp3,B,2026-05-28T00:00:00Z,mert_full_knn
DJB-Q012,"Alexander Alar, Sonita - Tokyo.mp3",Benno Blome - Abotha (Mihai Popoviciu Remix).mp3,John Digweed & Nick Muir vs. Ian O'Donovan - Dawnbreaker.mp3,C,2026-05-28T00:00:00Z,mert_full_knn
DJB-Q013,Nicolas Jaar - Time for Us.mp3,BOg - Corso.mp3,Redsea (IT) - Around My Head (The Drifter Remix).mp3,B,2026-05-28T00:00:00Z,mert_full_knn
DJB-Q014,Futuristant - The Future Dance (Rigopolar Remix).mp3,Massano - The Feeling.mp3,Tosca - Pyjama Stereotype Mix #1.mp3,B,2026-05-28T00:00:00Z,mert_full_knn
DJB-Q015,La Fleur - Aphelion.mp3,Dennis Cruz - Rock & Roll.mp3,Dosem - All Locations.mp3,skip,2026-05-28T00:00:00Z,mert_full_knn
DJB-Q016,VSY - Aria.mp3,Butch - Lale.mp3,Redsea (IT) - Around My Head (The Drifter Remix).mp3,C,2026-05-28T00:00:00Z,mert_full_knn
DJB-Q017,"Hosini, DSF - Centauri (DSF Remix).mp3",Coeus - Horizon.mp3,Nhii - Meyha.mp3,C,2026-05-28T00:00:00Z,mert_full_knn
DJB-Q018,Andhim - Taxi.mp3,Alex Dimou feat. Black Soda - This Time.mp3,La Fleur - Aphelion.mp3,B,2026-05-28T00:00:00Z,mert_full_knn
DJB-Q019,"Iorie, Arutani - De la Vida (NINZE & OKAXY Remix).mp3",Kerala Dust - Magdalena.mp3,Chus & Ceballos feat. Astrid Suryanto - All I Want (Oscar L Remix).mp3,B,2026-05-28T00:00:00Z,mert_full_knn
DJB-Q020,Elisa Bee - Absorption.mp3,0010X0010 - Escape From Rodeo Drive.mp3,Collective States - Lonesome Ghosts.mp3,C,2026-05-28T00:00:00Z,mert_full_knn
DJB-Q021,Indid - See You.mp3,Innellea - White Blanket.mp3,"Hosini, DSF - Centauri (DSF Remix).mp3",C,2026-05-28T00:00:00Z,v4_boundary
DJB-Q022,Alex Dimou - What Keeps You There.mp3,Yamil - Never No Right (Djolee Remix).mp3,"Sebjak, Fahlberg - Chaka.mp3",C,2026-05-28T00:00:00Z,v4_boundary
DJB-Q023,Innellea - Internal Shifts.mp3,"Djuma Soundsystem, NenaHalena - Nangarin.mp3",MARIA Die RUHE - Cims.mp3,C,2026-05-28T00:00:00Z,v4_boundary
