question_id,anchor,candidate_b,candidate_c,answer,answered_at
Q001,Mosley Jr - Sun_Set.mp3,Black Girl _ White Girl - Green Crack.mp3,Adana Twins - Origo.mp3,C,2026-09-11T00:31:47.694Z
Q002,Radio Slave - Stay Out All Night.mp3,"Dole & Kom, Stephan Zovsky - Love (Stephan Zovsky Remix).mp3",Depeche Mode - Enjoy the silence (Brigado Crew Unofficial Remix).mp3,B,2026-09-11T00:32:10.113Z
Q003,"Dave Pad, Spieltape - Space Chants.mp3",Carbon - Go Through That.mp3,RDNK - Guess the Number.mp3,B,2026-09-11T00:32:50.321Z
Q004,Benno Blome - Abotha (Mihai Popoviciu Remix).mp3,"Oliver Koletzki, Monolink ‒ We are all lost (Nico Stojan Remix).mp3",Radio Slave - Stay Out All Night.mp3,B,2026-09-11T00:33:07.385Z
Q005,VSY - Devolve.mp3,Lorenzo De Blanck - Rewind.mp3,BOg - Drawing Board.mp3,C,2026-09-11T00:33:28.250Z
Q006,"Mathias Schober, Atelier. - The Fall Feat. Atelier.mp3",Innellea - Internal Shifts.mp3,Agoria feat. STS - Call Of The Wild (Glowal Wild Remix).mp3,B,2026-09-11T00:33:59.434Z
Q007,"AfterU, Miss Monique - Sahara (Miss Monique Remix).mp3","BOg, GHEIST, Fideles - Venere (Fideles Remix).mp3",Daniel Rateuke - Flares.mp3,B,2026-09-11T00:34:12.994Z
Q008,Denis A - Space Truck.mp3,Kerala Dust - Magdalena.mp3,Matthias Schuell - Mephisto.mp3,C,2026-09-11T15:36:03.619Z
Q009,Adana Twins - Origo.mp3,Maksim Dark - Energize.mp3,Damon Jee - Ride Alone.mp3,skip,2026-09-11T15:40:23.967Z
Q010,Pig&Dan (Destination Unknown) - Positive Vibrations.mp3,Nhii - Meyha.mp3,"Peshay, Vsy - Universalis.mp3",B,2026-09-11T15:41:08.239Z
Q011,Lorenzo De Blanck - Rewind.mp3,Innellea - Anamorfose.mp3,Darren Emerson - Hot dog (Florian Meindl Remix).mp3,C,2026-09-11T15:41:44.075Z
Q012,James Orvis - Acid.mp3,"Mathias Rehfeldt, Dark Matter Projekt - Zeit (Niconé & Dirty Doering Remix).mp3",Dosem - All Locations.mp3,C,2026-09-11T15:42:06.783Z
Q013,Sobek - Charmer.mp3,Timo Maas - The Religion of Love.mp3,0010X0010 - Escape From Rodeo Drive.mp3,B,2026-09-11T15:43:58.687Z
Q014,"Roderic, Jacqueline Jones - Passengers (Acid Pauli Remix).mp3",Slow Nomaden - Eternal Blue Sky.mp3,Christos Fourkis - Black Rat.mp3,B,2026-09-11T15:44:13.271Z
